doc_id,text,label
1,公司通过数字化升级提升研发效率并加快新产品落地,创新
2,企业持续增加研发投入并形成多项核心专利,创新
3,平台企业利用算法优化供应链协同并提升创新产出,创新
4,公司建设数据中台后研发周期缩短创新绩效提升,创新
5,智能制造改造帮助企业降低试错成本并促进技术突破,创新
6,人工智能辅助设计显著提高产品迭代速度和创新质量,创新
7,受市场需求下滑影响公司面临现金流压力和经营风险,风险
8,债务负担上升叠加原材料波动导致企业盈利承压,风险
9,监管趋严和外部不确定性增加了企业合规风险,风险
10,项目延期与成本超支使企业面临较大的经营压力,风险
11,海外市场波动与汇率变化提升了企业财务风险,风险
12,供应链中断与订单减少使公司短期风险显著上升,风险
13,地方政府出台补贴政策支持专精特新企业发展,政策
14,税收优惠和研发补助为企业技术升级提供政策激励,政策
15,产业扶持文件强调提升数字基础设施与创新能力,政策
16,地方财政奖励政策鼓励企业加大研发和设备投资,政策
17,监管部门发布新规推动平台企业完善数据治理,政策
18,产业政策明确提出支持人工智能和高端制造协同发展,政策
